model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
Gaussian,10.0,0,2,-0.12543053715722607,-0.3939913428127842,-0.2685608056555581,0.2685608056555581,0.0007756498122566251,3.552713678800501e-15,0.2693364554678183,False,False
Gaussian,10.0,1,0,-0.1128314021364387,-0.3751847809814637,-0.26235337884502496,0.26235337884502496,0.0007756498122566251,3.552713678800501e-15,0.26312902865728516,False,False
Gaussian,10.0,1,1,-0.33711769617434945,-0.7080929709598122,-0.3709752747854627,0.3709752747854627,0.0007756498122566251,3.552713678800501e-15,0.3717509245977229,False,False
Gaussian,10.0,1,2,-0.1676931821234775,-0.3572458527155874,-0.1895526705921099,0.1895526705921099,0.0007756498122566251,3.552713678800501e-15,0.19032832040437006,False,False
Gaussian,10.0,2,0,-0.1254305371572261,-0.3939913428127842,-0.26856080565555807,0.26856080565555807,0.0007756498122566251,3.552713678800501e-15,0.26933645546781826,False,False
Gaussian,10.0,2,1,-0.16769318212347753,-0.3572458527155874,-0.18955267059210987,0.18955267059210987,0.0007756498122566251,3.552713678800501e-15,0.19032832040437003,False,False
Gaussian,10.0,2,2,-0.2995810779295727,-0.6891826406005503,-0.3896015626709776,0.3896015626709776,0.0007756498122566251,3.552713678800501e-15,0.3903772124832378,False,False
harmonic,0.0075,0,0,-0.007984193616994373,-0.021702257541208025,-0.013718063924213653,0.013718063924213653,6.7408901808353e-05,3.9968028886505635e-15,0.013785472826026003,False,False
harmonic,0.0075,0,1,-0.003686470537597686,-0.012871859939844854,-0.009185389402247168,0.009185389402247168,6.7408901808353e-05,3.9968028886505635e-15,0.009252798304059518,False,False
harmonic,0.0075,0,2,-0.004727478544044303,-0.013599688028625767,-0.008872209484581464,0.008872209484581464,6.7408901808353e-05,3.9968028886505635e-15,0.008939618386393814,False,False
harmonic,0.0075,1,0,-0.0036864705375975887,-0.012871859939844632,-0.009185389402247043,0.009185389402247043,6.7408901808353e-05,3.9968028886505635e-15,0.009252798304059394,False,False
harmonic,0.0075,1,1,-0.007726263135598599,-0.022909630409900794,-0.015183367274302195,0.015183367274302195,6.7408901808353e-05,3.9968028886505635e-15,0.015250776176114545,False,False
